product_id,name,current_price,original_price,review_count,rating_average,battery,bluetooth,brand,camera_primary,camera_secondary,GPU,chip_set,NFC,CPU,display_type,GPS,internet,accessories,model,jack_3.5mm,sim_type,charging_port,weight,camera_video,RAM,ROM,screen_size,wifi,source,category,category_id,discount_rate,url,image_url,thumbnails
76443,Xiaomi 14T Pro 12GB 512GB,0,17990000.0,11,4.9,5000 mAh,v5.4,xiaomi,"Máy ảnh chính: 50MP, 23mm, ƒ/1 6 <br> Máy ảnh góc siêu rộng: 12MP, 15mm, ƒ/2 2 <br>Máy ảnh tele: 50MP, 60mm, ƒ/2 0","32MPƒ/2,0 <br>Độ dài tiêu cự tương đương 25 mm <br> FOV 80,8˚<br>Chế độ ban đêm<br>HDR<br>Tính năng chụp ảnh bằng lòng bàn tay",Immortalis-G720 MC12,MediaTek Dimensity 9300+,Có,"1 x Cortex-X4, tối đa 3,4GHz; 3 x Cortex-X4,  lên đến 2,85GHz; 4 x Cortex-A720, lên đến 2.0GHz",AMOLED,N/A,5G,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C",INOI Note 13s 8GB 256GB,N/A,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,N/A,209g,N/A,N/A,N/A,6.67 inches,Wi-Fi 7,cellphones.com.vn,3,mobiles,6,http://cellphones.com.vn/xiaomi-14t-pro.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi_14t_pro_1_.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi_14t_pro_1_.png
91270,TECNO CAMON 30S 8GB 256GB,4650000.0,5490000.0,14,4.6,5000mAh,v5.3,hãng khác,50M OIS<br> 2M + light sensor<br>100MP,13MP,N/A,Mediatek G100,Có,N/A,AMOLED,N/A,4G,"Điện thoại Tecno camon 30s, ốp lưng, bộ sạc 33W, miếng dán cường lực",Samsung Galaxy Tab S9 Ultra ,N/A,2 SIM (Nano-SIM),USB Type-C,N/A,N/A,4GB - 6GB,32GB và 64GB,6.78 inches,802.11a/b/g/n/ac<br>2.4/5GHz,cellphones.com.vn,3,mobiles,16,http://cellphones.com.vn/dien-thoai-tecno-camon-30s.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-tecno-camon-30s_20_.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-tecno-camon-30s_20_.png
59258,iPhone 16 Pro Max 256GB | Chính hãng VN/A,33890000.0,34990000.0,55,4.9,N/A,Bluetooth 5.3,apple,"Camera chính: 48MP, f/1.78, 24mm, 2µm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%<br>Telephoto 2x 12MP: 52 mm, ƒ/1.6<br> Camera góc siêu rộng: 48MP, 13 mm,ƒ/2.2 và trường ảnh 120°, Hybrid Focus Pixels, ảnh có độ phân giải ","12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels",GPU 6 lõi mới,Apple A18 Pro,Có,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,Super Retina XDR OLED,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",5G,"iPhone sử dụng iOS 18, Cáp Sạc USB‑C (1m), Tài liệu",Lenovo Tab Extreme,N/A,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,USB Type-C,227 gram,"4K@24 fps, 4K@25 fps, 4K@30 fps, 4K@60 fps, 4K@100 fps, 4K@120 fps <br>1080p@25fps, 1080p@30 fps, 1080p@60 fps hoặc 1080p@120 fps<br> 720p@30 fps",N/A,N/A,6.9 inches,Wi‑Fi 7 (802.11be) với 2x2 MIMO7,cellphones.com.vn,3,mobiles,4,http://cellphones.com.vn/iphone-16-pro-max.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-pro-max.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-pro-max.png
59294,Samsung Galaxy S24 Ultra 12GB 256GB,29990000.0,33990000.0,31,4.9,"5,000mAh ",v5.3,samsung,"Camera chính: 200MP, Laser AF, OIS <br>Camera: 50MP,  PDAF, OIS, zoom quang học 5x<br>Camera tele: 10MP<br>Camera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚","12 MP, f/2.2",Adreno 750 (1 GHz),Snapdragon 8 Gen 3 For Galaxy,Có,"3.39GHz,3.1GHz,2.9GHz,2.2GHz",Dynamic AMOLED 2X,"GPS, Glonass, Beidou, Galileo, QZSS",5G,Điện thoại thông minh <br>2. Cáp truyền dữ liệu <br>3. Que lấy sim <br> * Galaxy S24 Ultra không bao gồm củ sạc.,Lenovo Tab Extreme,N/A,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,USB Type-C,232g,"8K@24/30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 1080p@960fps",8GB - 12GB,128GB và 256GB,6.8 inches,"802.11a/b/g/n/ac/ax/be 2.4GHz+5GHz+6GHz, EHT320, MIMO, 4096-QAM",cellphones.com.vn,3,mobiles,15,http://cellphones.com.vn/samsung-galaxy-s24-ultra.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ss-s24-ultra-xam-222.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ss-s24-ultra-xam-222.png
85280,OPPO Find X8,0,22990000.0,14,4.9,5630 mAh,5.4 BLE,oppo,50MP OIS (Chính) + 50MP (Chân dung Tele) + 50MP (Góc rộng),"32MP, khẩu độ F/2.4",Immortalis G925 MC12,MediaTek Dimensity 9400 ,Có,8 nhân,AMOLED,"GPS, GLONASS, BDS, Galileo, QZSS, NavlC",5G,OPPO FIND X8<br> Cáp USB Type C<br> Củ sạc superVOOC 80W <br> Dụng cụ lấy SIM <br>Sách hướng dẫn<br>Miếng dán màn hình (Đã dán sẵn)<br> Vỏ bảo vệ,iPhone 15 Pro,N/A,Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,USB Type-C,193 gr (bao gồm pin),"4K Video@30/60fps<br> 1080P Video@ 30/60fps <br>720P Video@30fps<br> Slo-mo Video: 1080P@240fps, 720P@240fps/480fps<br> Cinematic: 4K@30fps <br>Time-lapse: 4K@30fps, 1080P@30fps <br>Dual-view video: 1080P@30fps<br> Support EIS/OIS video<br> Optical zoom: ",4GB - 6GB,128GB và 256GB,6.59 inches,N/A,cellphones.com.vn,3,mobiles,1,http://cellphones.com.vn/dien-thoai-oppo-find-x8.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-oppo-find-x8-xam-1.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-oppo-find-x8-xam-1.png
59255,iPhone 16 Plus 128GB | Chính hãng VN/A,25090000.0,25990000.0,3,5,N/A,Bluetooth 5.3,apple,"Camera chính: 48MP, f/1.6, 26mm, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao<br> Camera góc siêu rộng: 12MP, ƒ/2.2, 13 mm, Focus Pixels 100%, Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 4x Độ thu phóng kỹ thu","12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels",GPU 5 lõi mới,Apple A18 ,Có,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,Super Retina XDR OLED,"GPS, GLONASS, Galileo, QZSS và BeiDou",5G,"iPhone sử dụng iOS 18, Cáp Sạc USB‑C (1m), Tài liệu",Lenovo Tab Extreme,N/A,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,USB Type-C,199 gram,"4K@24 fps<br>4K@25 fps<br>4K@30 fps<br>4K@60 fps<br>1080p@25fps, 1080p@30 fps, hoặc 1080p@60 fps",N/A,N/A,6.7 inches,Wi‑Fi 7 (802.11be) với 2x2 MIMO7,cellphones.com.vn,3,mobiles,4,http://cellphones.com.vn/iphone-16-plus.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-plus-1.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-plus-1.png
66374,Xiaomi Redmi Note 13 (6GB-128GB),3990000.0,4890000.0,26,5,5000 mAh,A2DP<br>LE<br>v5.1,xiaomi,"Chính 108 MP & Phụ 8 MP, 2 MP",16MP,Adreno 610,Snapdragon 685,Không,"CPU lõi tám, tốc độ lên tới 2,8 GHz",AMOLED,BEIDOU<br>GPS<br>GLONASS<br>GALILEO     ,4G,"Máy, sạc, Cáp USB Type-C, Dụng cụ lấy SIM, Vỏ bảo vệ, Hướng dẫn sử dụng nhanh",Masstel Fami 60 ,Có,2 SIM (Nano-SIM),USB Type-C,188.5 g, HD 720p@30fpsFullHD 1080p@30fps,4GB - 6GB,128GB và 256GB,6.67 inches,Wi-Fi Direct<br>Wi-Fi 802.11 a/b/g/n/ac<br>Wi-Fi hotspot<br>Dual-band (2.4 GHz/5 GHz),cellphones.com.vn,3,mobiles,19,http://cellphones.com.vn/xiaomi-redmi-note-13.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-redmi-note-13_1__1_1.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-redmi-note-13_1__1_1.png
53193,Samsung Galaxy A55 5G 8GB 128GB,9290000.0,9990000.0,17,5,5000 mAh,v5.3,samsung,Camera chính: 50 MP OIS+HDR <br> Camera góc rộng: 12MP <br>Camera macro: 5MP,32 MP,AMD Titan 1WGP,Exynos 1480 4nm 2.4GHz,Có,4 nhân 2.7 GHz & 4 nhân 2.0 GHz,Super AMOLED,"GPS, Glonass, Beidou, Galileo, QZSS",5G,"Máy, cáp sạc Type-C, Que chọc SIM, Hướng dẫn nhanh",OPPO A17K ,Không,2 SIM (Nano-SIM),USB Type-C,213g,UHD 4K (3840 x 2160)@30fps<br> Quay chậm 240fps @HD,8GB - 12GB,128GB và 256GB,6.6 inches,"802.11 a/b/g/n/ac/ax 2.4GHz+5GHz, WiFi Direct ",cellphones.com.vn,3,mobiles,7,http://cellphones.com.vn/samsung-galaxy-a55.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/m/sm-a556_galaxy_a55_awesome_lilac_ui.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/m/sm-a556_galaxy_a55_awesome_lilac_ui.png
67006,iPhone 15 Plus 128GB | Chính hãng VN/A,22590000.0,25990000.0,22,5,4383 mAh,v5.3,apple,Chính 48 MP & Phụ 12 MP,"12MP, ƒ/1.9",GPU 5 lõi,Apple A16 Bionic,Có,CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,Super Retina XDR OLED,"GPS, GLONASS, Galileo, QZSS, and BeiDou",5G,"Hộp, Sách hướng dẫn, Cây lấy sim, Cáp Type C",iPhone 15 Pro,Không,2 SIM (nano‑SIM và eSIM),USB Type-C,201 g,4K@24/25/30/60 fps<br>HD 1080p@25/30/60 fps<br>HD 720p@30 fps,4GB - 6GB,128GB và 256GB,6.7 inches,Wi‑Fi 6 (802.11ax),cellphones.com.vn,3,mobiles,14,http://cellphones.com.vn/iphone-15-plus.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-15-plus_1_.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-15-plus_1_.png
72303,Xiaomi Redmi Note 13 Pro 4G 8GB 128GB,5790000.0,7290000.0,15,5,5000 mAh ,v5.2,xiaomi,"Chính 200 MP & Phụ 8 MP, 2 MP",16 MP,Mali-G57 MC2,MediaTek Helio G99-Ultra 8 nhân,Có,2.2 GHz,AMOLED,"GPS (L1), GLONASS (G1), BDS (B1I+B1c), GALILEO (E1), QZSS (L1)",4G,"Máy, Que lấy SIM, sách hướng dẫn sử dụng, củ sạc 67W, dây sạc USB Type-C, ốp lưng nhựa.",Vivo Y22S ,Có,2 SIM (Nano-SIM),USB Type-C,188 g ,FullHD 1080p@60/30fps<br>HD 720p@30fps,8GB - 12GB,128GB và 256GB,6.67 inches,Wi-Fi hotspot<br>Wi-Fi 802.11 a/b/g/n/ac<br>Dual-band (2.4 GHz/5 GHz),cellphones.com.vn,3,mobiles,21,http://cellphones.com.vn/xiaomi-redmi-note-13-pro.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-redmi-note-13-pro-4g_13__1.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-redmi-note-13-pro-4g_13__1.png
