id,name,current_price,original_price,discount_rate,review_count,rating_average,battery,bluetooth,brand,camera_primary,camera_secondary,GPU,chip_set,NFC,CPU,display_type,GPS,internet,accessories,model,jack_3.5mm,sim_type,charging_port,weight,camera_video,RAM,ROM,screen_size,wifi,url,source,category,category_id,image_url,thumbnails
273951550,Điện Thoại Samsung Galaxy A15 LTE (8GB/128GB)- Đã Kích Hoạt Bảo Hành Điện tử - Hàng Chính Hãng,3950000,4990000,21,97,5,5000 mAh, v5.3,samsung," Chính 50 MP &amp; Phụ 5 MP, 2 MP",13 MP,Mali-G57,MediaTek Helio G99 8 nhân,Có, 2 GHz, Super AMOLED,BEIDOU;QZSS;GPS;GLONASS;GALILEO,Có,"Sách hướng dẫn, que chọc sim, dây cáp sạc typeC",A15, 3.5 mm,Nano Sim, Type-C,200g,FullHD 1080p@30fps,8GB,128GB,6.5 inch,Wi-Fi Direct;Wi-Fi 802.11 a/b/g/n/ac;Wi-Fi hotspot;Dual-band (2.4 GHz/5 GHz); ,https://tiki.vn/product-p273951550.html?spid=273952409,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/71/e6/18/4355f31f1155f406cb4e42163ecd4646.png,https://salt.tikicdn.com/ts/product/57/51/71/e84c5fc4b61335563f96c481f4c5e433.jpg,https://salt.tikicdn.com/ts/product/36/9c/e6/c6e8668832e28946153cecf9b2e81b72.png,https://salt.tikicdn.com/ts/product/f4/7a/6f/2be4a10ca370f354da550c9b3d2824c6.jpg,https://salt.tikicdn.com/ts/product/e1/63/0f/3e6f2e54cd70349a05a821169ffa7812.jpg,https://salt.tikicdn.com/ts/product/ed/f6/04/2f95ca35639298de8060954b527802ff.jpg,https://salt.tikicdn.com/ts/product/f5/33/a8/1eec0edbf1d0b8c0eff86284fad57186.jpg,https://salt.tikicdn.com/ts/product/bc/da/2e/dbe0a0934153ff4992c6b383517aef95.jpg,https://salt.tikicdn.com/ts/product/a9/4a/1c/d55c4418dd26496da03ffa177becb807.jpg,https://salt.tikicdn.com/ts/product/c7/34/09/47860d719d99f921659c40e2f8b8eb12.jpg,https://salt.tikicdn.com/ts/product/54/f5/e0/6fb548470d6d5ddbf7727ba0fd2d0889.jpg",https://salt.tikicdn.com/ts/product/71/e6/18/4355f31f1155f406cb4e42163ecd4646.png
273258825,Điện thoại Samsung Galaxy A05s (4GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,2890000,3950000,27,107,4.8,	5000 mAh,	v5.1,samsung,"	Chính 50 MP &amp; Phụ 2 MP, 2 MP",13 MP,	Adreno 610,	Snapdragon 680 8 nhân,Không,4 nhân 2.4 GHz &amp; 4 nhân 1.9 GHz,PLS LCD,N/A,Có,"Sách hướng dẫn, Que chọc SIM, Cáp sạc USB Type-C",N/A,	3.5 mm,Nano Sim,	Type-C,194 g,N/A,4GB,128GB,N/A,	 Wi-Fi Direct  /Wi-Fi 802.11 a/b/g/n/ac  / Dual-band (2.4 GHz/5 GHz),https://tiki.vn/product-p273258825.html?spid=273259161,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/99/6e/cd/f43196af3ef325263663b03045211afb.png,https://salt.tikicdn.com/ts/product/16/97/30/d3148cf92608b839a6c573b78b5935c6.jpg,https://salt.tikicdn.com/ts/product/1f/a8/b0/aa35c1eaa4a4a727da1f2e611eacbc84.jpg,https://salt.tikicdn.com/ts/product/ea/47/7c/29976d0b4c2715a2dfc4e7571261ec7e.jpg,https://salt.tikicdn.com/ts/product/6a/c5/3e/8df3232e60e4da8e629b613915771756.jpg,https://salt.tikicdn.com/ts/product/a8/61/9f/067bf7d312aee41a5a8955668ef107e5.jpg,https://salt.tikicdn.com/ts/product/db/f4/3c/0a70b952c7ed9a0d8fdec9593574a255.jpg,https://salt.tikicdn.com/ts/product/3c/ee/64/c460cebef5fc1e90e0420a700461a7e9.jpg,https://salt.tikicdn.com/ts/product/44/a2/f8/768771540cb86d9b1a7be98e9ab8d025.jpg",https://salt.tikicdn.com/ts/product/99/6e/cd/f43196af3ef325263663b03045211afb.png
273947792,"Điện thoại AI Samsung Galaxy S24 Ultra, Camera 200MP Zoom 100x, S Pen - Hàng Chính Hãng",28990000,37490000,23,13,5,5000 mAh,v5.3,samsung,"12MP,200MP,50MP",12MP,Adreno 750,N/A,Có,N/A,QHD+ Dynamic AMOLED 2X,N/A,N/A,Sách hướng dẫn,S 24 Ultra,N/A,1 Nano SIM & 1 eSIM,Type-C,N/A,N/A,N/A,N/A,6.8 inch,•	Wi-Fi MIMO</p><p> •	Wi-Fi Direct</p><p> •	Wi-Fi hotspot</p><p>  •	Dual-band (2.4 GHz/5 GHz) </p><p> •	Wi-Fi 802.11 a/b/g/n/ac/ax,https://tiki.vn/product-p273947792.html?spid=273947989,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/2c/97/51/f941ac87738c001afb4d65de07b72e45.jpg,https://salt.tikicdn.com/ts/product/1c/32/47/bd65632ee9a789cea7a4e847bf80b47b.jpg,https://salt.tikicdn.com/ts/product/76/aa/c3/4e16c9dfe9f7bd6589f6f06f776e3cbe.jpg,https://salt.tikicdn.com/ts/product/f3/3f/0d/95da37c34fc8009a80da2f27b2c08f45.jpg,https://salt.tikicdn.com/ts/product/d2/57/bc/ec7c5ba02df8bf643d51783a50bab4d5.jpg,https://salt.tikicdn.com/ts/product/45/4c/00/20800e157a7ce664922b4253b2d3821c.jpg",https://salt.tikicdn.com/ts/product/2c/97/51/f941ac87738c001afb4d65de07b72e45.jpg
275618846,Điện thoại Samsung Galaxy A34 5G (8GB/256GB) - Đã kích hoạt bảo hành điện tử  Hàng chính hãng,5890000,8790000,33,15,4.7,5000 mAh,v5.3,samsung,"Chính 48 MP &amp; Phụ 8 MP, 5 MP", 13 MP,Mali-G68 MC4, MediaTek Dimensity 1080 8 nhân,N/A,2.6 GHz,Super AMOLED,N/A,N/A,N/A,N/A, Type-C,Nano SIM, Type-C,199gr,N/A,8GB,256GB,6.6 inch,Dual-band (2.4 GHz/5 GHz),https://tiki.vn/product-p275618846.html?spid=275619761,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/8e/df/28/ec782f73bff18cae3557178562269da0.png,https://salt.tikicdn.com/ts/product/a0/d5/8f/8336f0a094b01f8b8efde19eb86ff8a6.jpg,https://salt.tikicdn.com/ts/product/59/28/40/e291a8b2a4c1f3fdb2cac8fc5230981b.jpg,https://salt.tikicdn.com/ts/product/7c/55/74/c63dbd3ca840533384599614131a3be3.jpg,https://salt.tikicdn.com/ts/product/d3/84/79/7ae240e6f8c427df6be1afb7d491c2ce.jpg,https://salt.tikicdn.com/ts/product/af/d3/50/e285f0c688f74e09276f746a798efa0e.png,https://salt.tikicdn.com/ts/product/8f/b6/8e/2ca7af2d882cfb02ef51959a5664f55d.png,https://salt.tikicdn.com/ts/product/89/82/f1/17d3229731f5f0f2c6e7e5f3585a939d.png,https://salt.tikicdn.com/ts/product/c3/fe/6b/901ecd3c5fcba81a55e57b4989b8b1bd.png,https://salt.tikicdn.com/ts/product/94/04/4e/fa1442231989ccb8644b04a726a8924a.png,https://salt.tikicdn.com/ts/product/cb/23/9e/1a8ba5e748c1521b49a3f4346d9020da.png",https://salt.tikicdn.com/ts/product/8e/df/28/ec782f73bff18cae3557178562269da0.png
276515327,Điện thoại POCO C75 (6GB/128GB) - Hàng Chính Hãng,2790000,3390000,18,2,5,5160 mAh,v5.4,poco,50 MP,13 MP,Mediatek Helio G81 Ultra,Mediatek Helio G81 Ultra,Có,2 GHz,IPS,N/A,N/A,N/A,N/A,N/A,Nano SIM,Type-C,204 g,N/A,6GB,128GB,6.8 inch,N/A,https://tiki.vn/product-p276515327.html?spid=276521610,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/30/f2/3c/586b190217b7c4a1959ef0e8928361f5.png,https://salt.tikicdn.com/ts/product/86/9b/8a/da9bfbbe655b2525c4838a5664c23858.png,https://salt.tikicdn.com/ts/product/df/da/ee/238ff3ed15a2c736802fae07b93faf2a.png,https://salt.tikicdn.com/ts/product/9b/7b/56/0ebaa27693440359496e17d63b562258.png,https://salt.tikicdn.com/ts/product/6c/56/b5/d8845c3453ffd7a98c24670d0cf268e1.png,https://salt.tikicdn.com/ts/product/46/17/ae/9a6a6586d46d28ccffdd36e9975e322f.png",https://salt.tikicdn.com/ts/product/30/f2/3c/586b190217b7c4a1959ef0e8928361f5.png
275572013,Điện thoại Samsung Galaxy Z Fold6 (12GB/ 256GB) - Hàng Chính Hãng,39990000,43990000,9,2,5,N/A,N/A,samsung,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://tiki.vn/product-p275572013.html?spid=275572150,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/33/1e/1e/07d37defa4d4318d02ae47f8cefa366b.jpg,https://salt.tikicdn.com/ts/product/af/b9/89/30ca40cd9286b72b1860d48c093e9646.jpg,https://salt.tikicdn.com/ts/product/9c/e2/01/a467970d437ce3980cd6c045cc97fb9c.jpg,https://salt.tikicdn.com/ts/product/27/04/0f/455b9d3e001963e89cabc903afe9f1d1.jpg,https://salt.tikicdn.com/ts/product/b4/47/4b/b7ea70615b3d6e70dc87b6f4c931ade7.jpg,https://salt.tikicdn.com/ts/product/b9/09/6a/96719e70265c43ab50719cec91df55d3.jpg,https://salt.tikicdn.com/ts/product/4b/19/2b/715407e712d594a21ee78febfc89a7c4.jpg,https://salt.tikicdn.com/ts/product/b8/d1/9e/2ec58dd8628727c973b24605ec02fc75.jpg,https://salt.tikicdn.com/ts/product/e0/94/7b/5eabe5bbdd64c29ef6bb127140d29576.jpg",https://salt.tikicdn.com/ts/product/33/1e/1e/07d37defa4d4318d02ae47f8cefa366b.jpg
276559198,Điện thoại POCO C75 (8GB/256GB) - Hàng Chính Hãng,3090000,3290000,6,2,5,N/A,N/A,poco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://tiki.vn/product-p276559198.html?spid=276559200,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/32/bb/19/9b467516bdb69d0b4c01935434017287.png,https://salt.tikicdn.com/ts/product/c9/ed/14/de39208b2e4ac732eee6e4118f873b8a.png,https://salt.tikicdn.com/ts/product/86/9b/8a/38f2d2d3960796f19ae228f3783f7e83.png,https://salt.tikicdn.com/ts/product/df/da/ee/d5f9718f9740bcd9dbf1b20727df218a.png,https://salt.tikicdn.com/ts/product/9b/7b/56/6955756863bff142483d8dd515614588.png,https://salt.tikicdn.com/ts/product/6c/56/b5/3a9a45a47d2a2eae2139b6079204aef9.png",https://salt.tikicdn.com/ts/product/32/bb/19/9b467516bdb69d0b4c01935434017287.png
276411458,"Điện thoại OPPO A79 5G (4GB/128GB) Màn hình 6.7"", Sạc nhanh 33W , Rom tiếng việt - Bản nội địa Nhật - Hàng nhập khẩu",3249000,3999000,19,1,5,N/A,N/A,oppo,N/A,N/A,N/A,MediaTek Dimensity 6020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4GB,128GB,6.7 inch,N/A,https://tiki.vn/product-p276411458.html?spid=276411472,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/73/a1/82/807859f8c190ca6d865f591c3d9a3e4c.jpg,https://salt.tikicdn.com/ts/product/3d/d4/26/9a9af38c88b0b44b56de886b36da1435.jpg,https://salt.tikicdn.com/ts/product/c3/e6/a4/70c450a530c22038b880edf5445e80b5.jpg,https://salt.tikicdn.com/ts/product/72/fb/a4/f43e4367e399a4826dc7245ed7032b9e.jpg,https://salt.tikicdn.com/ts/product/f5/42/bc/a7df7924f94d44eb812f30f0c07f526f.jpg,https://salt.tikicdn.com/ts/product/ef/57/b6/b84426213452aa71e0f6e10f0eb1d34d.jpg",https://salt.tikicdn.com/ts/product/73/a1/82/807859f8c190ca6d865f591c3d9a3e4c.jpg
276536922,"Điện thoại ZTE Libero Flip (6GB/128GB) Snapdragon 7 Gen 1 Màn Oled ,120Hz , Rom quốc tế - Hàng nhập khẩu",4699000,5990000,22,3,5,N/A,N/A,tecno,N/A,N/A,N/A,Snapdragon 7 Gen 1 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6GB,128GB,N/A,N/A,https://tiki.vn/product-p276536922.html?spid=276537324,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/f2/ac/33/dbf2916d72f5c8d8ca231cc012e4f099.jpg,https://salt.tikicdn.com/ts/product/ff/ca/cd/85093246189d2e162c46f62afc2f0f56.jpg,https://salt.tikicdn.com/ts/product/55/b7/70/2de5ee09493655827742286d6774aff6.jpg",https://salt.tikicdn.com/ts/product/f2/ac/33/dbf2916d72f5c8d8ca231cc012e4f099.jpg
276410628,"Điện thoại Realme V60 (6GB/128GB) 5G , Chíp Dimensity 6300, Rom tiếng việt - Hàng nhập khẩu",3099000,3999000,23,1,5,N/A,N/A,realme,N/A,N/A,N/A,MediaTek Dimensity 6300 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6GB,128GB,6.67 inch,N/A,https://tiki.vn/product-p276410628.html?spid=276410632,tiki.vn,dien-thoai-smartphone,mobiles,"https://salt.tikicdn.com/ts/product/23/cc/4d/4e8dc54b550ca5438b8f3b4d5e786f7e.jpg,https://salt.tikicdn.com/ts/product/4a/81/96/07457477dcf009a0f4dd859bb8d53439.png,https://salt.tikicdn.com/ts/product/64/d6/90/023354ac4eed5464ef0a8ba9158d6b83.png,https://salt.tikicdn.com/ts/product/4a/81/96/5c34fba76b815c3ed6138e81ce896cb9.png,https://salt.tikicdn.com/ts/product/ab/9c/d3/277e9e5f5a4eac5300dec7a3af7ad917.png,https://salt.tikicdn.com/ts/product/60/31/4d/fd6d745902289f968e0f06576de964d7.png",https://salt.tikicdn.com/ts/product/23/cc/4d/4e8dc54b550ca5438b8f3b4d5e786f7e.jpg
